Code,Name,ICAO,IATA,PositioningFlightPattern,CharterFlightPattern
DCS,Daimler Chrysler Aviation,DCS,,,.*
DCT,Direct Flight,DCT,,,
DCV,Discover Air,DCV,,,
DCX,Daimler-Chrysler,DCX,,,
DDA,D &amp; D Aviation,DDA,,,
DDS,Addis Airlines,DDS,,,
DEA,Delta Aerotaxi,DEA,,,
DEE,Dixie Airways,DEE,,,
DEF,Aviation Defense Service,DEF,,,
DEG,Air Service Groningen,DEG,,,
DEI,Ecoair,DEI,,,
DEL,Carib Aviation,DEL,,,
DER,Deer Jet,DER,,,
DES,Chilcotin Caribou Aviation,DES,,,
DET,DETA Air,DET,,,
DEV,Red Devils Parachute Display Team,DEV,,,
DEX,Asian Air,DEX,DM,,
DFA,Aero Coach Aviation,DFA,,,
DFC,Aeropartner,DFC,,,.*
DFL,Avincis Aviation Sweden,DFL,,,
DFS,Dwyer Aircraft Services,DFS,,,
DGO,DGO Jet,DGO,,,
DGT,Digital Equipment Corporation,DGT,,,
DGX,Dasnair,DGX,,,
DHA,DHL Air Austria,DHA,Q7,,
DHC,De Havilland,DHC,,,
DHE,DAP Helicopteros,DHE,,,
DHK,DHL Air UK,DHK,D0,^...P$,
DHL,Astar Air Cargo,DHL,ER,,
DHM,Archer Aviation,DHM,,,
DHV,DHL Aviation,DHV,,,
DHX,DHL International,DHX,ES,,
DIA,Direct Air,DIA,,,
DIC,Aeromedica,DIC,,,
DIG,Passion Air,DIG,OP,,
DIN,Aerodin,DIN,,,
DIP,Diplomatic Freight Services,DIP,,,
DIR,Aerro Direkt,DIR,4D,,
DIS,Di Air,DIS,,,
DIX,Dix Aviation,DIX,,,
DJE,Durango Jet,DJE,,,
DJS,DayJet,DJS,,,
DJT,La Compagnie,DJT,B0,,
DJU,Air Djibouti,DJU,,,
DKA,Daka,DKA,,,
DKE,Jubilee Airways,DKE,,,
DKH,Juneyao Airlines,DKH,HO,(500\d|600\d|800\d),
DKN,Deccan Aviation,DKN,,,
DKT,Sioux Falls Aviation,DKT,,,
DKY,Servicios Aéreos Elite,DKY,,,
DLA,Air Dolomiti,DLA,EN,,
DLH,Lufthansa,DLH,LH,,^((987\d)|(99\d\d))$
DLI,Delta Express International,DLI,,,
DLK,Deccan Aviation (Lanka),DLK,,,
DLR,Dala Air Services,DLR,,,
DLS,Aero Modelo,DLS,,,
DLY,Air Independence,DLY,,,.*
DMC,Aerodinamica de Monterrey,DMC,,,
DMF,DMCFLY,DMF,,,
DMI,Aeroservicios Dinamicos,DMI,,,
DMJ,Aerolíneas Damojh,DMJ,,,
DML,Getjet Airlines Latvia,DML,,,
DMS,Diamond Sky,DMS,,,
DNA,Aerodespachos de El Salvador,DNA,,,
DNC,Aerodynamics Málaga,DNC,,,
DND,Eldinder Aviation,DND,,,
DNI,Servicios Aéreos Denim,DNI,,,
DNJ,Aerodynamics Incorporated,DNJ,,,
DNK,D&amp;K Aviation,DNK,,,
DNL,Dutch Antilles Express,DNL,,,
DNR,Dynamair Aviation,DNR,,,
DNU,DAT LT,DNU,R6,,
DNV,Donavia,DNV,D9,,
DNY,Danish Navy,DNY,,,
DOC,Norsk Luftambulanse,DOC,,,
DOD,USAF Air Mobility Operations Control Center,DOD,,,
DOI,U.S. Department of the Interior,DOI,,,
DOJ,Justice Prisoner and Alien Transportation System,DOJ,,,
DOM,Dos Mundos,DOM,,,
DON,Donair Flying Club,DON,,,
DOP,Dancopter,DOP,,,
DOR,Dornier,DOR,,,
DOT,Telnic Limited,DOT,,,
DPJ,Delta Private Jets,DPJ,,,.*
DPL,Dome Petroleum,DPL,,,
DQ,Coastal Air,,DQ,,
DQA,Maldivian,DQA,Q2,,
DRB,Didier Rousset Buy,DRB,,,
DRC,Triton Airlines,DRC,,,
DRD,Aereo Dorado,DRD,,,
DRE,Drummond Island Air,DRE,,,
DRK,Druk Air,DRK,KB,,
DRL,Omni Air Transport,DRL,,,
DRM,Airways Flight Training,DRM,,,
DRN,Central De Discos De Reynosa,DRN,,,
DRO,Adro Servicios Aereos,DRO,,,
DRT,Darta,DRT,,,
DRU,Alrosa Air Company,DRU,6R,,
DRX,Des R Cargo Express,DRX,,,
DRY,Deraya Air Taxi,DRY,,,
DSA,Danbury Airways,DSA,,,
DSC,Addis Air Cargo Services,DSC,,,
DSH,Dash Air Charter,DSH,,,
DSK,Aero Algarve,DSK,,,
DSL,Meridian Aviation,DSL,,,
DSM,LATAM Argentina,DSM,4M,,
DSN,DESNA,DSN,,,
DSO,Dassault Falcon Service,DSO,,,
DSQ,Dasab Airlines,DSQ,,,
DSR,DAS Air Cargo,DSR,WD,,
DST,Aex Air,DST,,,
DSU,Delta State University,DSU,,,
DTA,TAAG Angola Airlines,DTA,DT,,
DTH,Tassili Airlines,DTH,SF,,
DTL,Aero Dili,DTL,8G,,
DTN,Data International,DTN,,,
DTR,DAT,DTR,DX,,
DTV,Centre Airlines,DTV,,,
DTY,Destiny Air Services,DTY,,,
DUB,Dubai Airwing,DUB,,,
DUK,Ducair,DUK,,,
DUN,Dun'Air,DUN,,,
DUO,Duo Airways,DUO,,,
DVA,Discovery Airways,DVA,DH,,
DVB,Don Avia,DVB,,,
DVI,Aero Davinci International,DVI,,,
DVN,Adventia,DVN,,,
DVR,Divi Divi Air,DVR,,,
DWI,Arajet,DWI,DM,,
DWN,Dawn Air,DWN,,,
DWR,Delaware Skyways,DWR,,,
DWT,Darwin Airline,DWT,0D,,
DWW,Jet Courier Service,DWW,,,
DXH,East Star Airlines,DXH,,,
DXP,Dallas Express Airlines,DXP,,,
DXT,Dexter Air Taxi,DXT,,,.*
DYA,Dynamic Airlines,DYA,2D,,
DYE,Dynamic Air,DYE,,,
DZR,Midwest Aviation,DZR,,,
E1,Everbread,,E1,,
E6,Bringer Air Cargo Taxi Aéreo,,E6,,
EAB,Swiss Eagle,EAB,,,
EAC,Executive Air Charter,EAC,,,
EAD,Escola De Aviacao Aerocondor,EAD,,,
EAE,Aeroservicios Ecuatorianos,EAE,,,
EAF,Electra Airways,EAF,,,.*
EAG,Emerald Airlines UK,EAG,,,
EAH,Baltimore Airways,EAH,,,
EAI,Emerald Airlines,EAI,EA,,
EAJ,Airenka,EAJ,,,.*
EAK,Euro-Asia Air,EAK,,,
EAL,Eastern Airlines,EAL,2D,,
EAM,Embassy Airlines,EAM,,,
EAN,Skypower Express Airways,EAN,,,
EAP,Aero-Pyrenees,EAP,,,
EAQ,Eastern Australia Airlines,EAQ,QF,,
EAR,Transporte Ejecutivo Aéreo,EAR,,,
EAT,Air Transport,EAT,,,
EAU,Elitavia Malta,EAU,MA,,.*
EAV,Eagle Airlines Luftverkehrsges,EAV,,,
EAX,Eastern Air Executive,EAX,,,
EAZ,Eastern Air,EAZ,,,
EBA,Bond Aviation,EBA,,,
EBC,Aero Ejecutivo De Baja California,EBC,,,
EBE,Minebea Technologies,EBE,,,
EBF,MSR Flug-Charter,EBF,,,
EBG,Eurosense,EBG,,,
EBJ,European Business Jets,EBJ,,,
EBS,AEG Aviation Services,EBS,,,
ECA,OHL Air Charterflug,ECA,,,.*
ECB,European Coastal Airlines,ECB,,,
ECC,Eclair Aviation,ECC,,,.*
ECD,Ecotour,ECD,,,
ECE,Air City,ECE,4F,,
ECF,Eurocopter,ECF,,,
ECG,Aero Ejecutivos RCG,ECG,,,
ECI,Eastern Carolina Aviation,ECI,,,
ECJ,East Coast Jets,ECJ,,,
ECL,Aeronáutica Castellana,ECL,,,
ECM,Aerolíneas Comerciales,ECM,,,
ECN,Euro Continental AIE,ECN,,,
ECO,Linea Aerea Eco Jet S.A.,ECO,8J,,
ECQ,Eco Air,ECQ,,,
ECS,Executive Aircraft Charter and Charter Services,ECS,,,
ECT,East Coast Airways,ECT,,,
ECU,Ecuavia,ECU,,,
ECV,Ecuatoguineana De Aviación (EGA),ECV,,,
ECX,Ecomex Air Cargo,ECX,,,
ECY,Euroceltic Airways,ECY,,,
EDC,Edinburgh Air Charter,EDC,,,.*
EDD,Líneas Aéreas Ejectuivas De Durango,EDD,,,
EDG,Jet Edge,EDG,,,.*
EDJ,Edwards Jet Center of Montana,EDJ,,,
EDL,Polizeihubschrauberstaffel Bayern,EDL,,,
EDO,Elidolomiti,EDO,,,
EDR,Líneas Aéreas Eldorado,EDR,,,
EDV,Endeavor Air,EDV,9E,,
EDW,Edelweiss Air,EDW,WK,,
EEA,Empresa Ecuatoriana De Aviación,EEA,,,
EEF,Estonian Air Force,EEF,,,
EET,Air Este,EET,,,
EEU,Eurofly Service,EEU,,,
EEZ,Eurofly,EEZ,GJ,,
EFC,Air Mana,EFC,,,
EFD,Eisele Flugdienst,EFD,,,
EFG,Elifriulia,EFG,,,
EFL,Eagle Air,EFL,,,
EFS,EFAOS- Agencia De Viagens e Turismo,EFS,,,
EFT,Embassy Freight Company,EFT,,,
EFW,BA Euroflyer,EFW,A0,,
EFY,EasyFly,EFY,VE,,
EGF,American Eagle Airlines,EGF,MQ,,
EGJ,Eagle Jet Charter,EGJ,,,
EGL,Capital Trading Aviation,EGL,,,
EGN,Eagle Aviation France,EGN,,,
EGO,Gauteng Air Cargo,EGO,,,
EGR,Eagle Air,EGR,,,
EGT,EGT Jet,EGT,,,.*
EGU,Eagle Air,EGU,H7,,
EGV,Enrique Gleisner Vivanco,EGV,,,
EGX,Eagle Air Company,EGX,,,
EGY,Egyptian Air Force,EGY,,,
EHA,East Hampton Aire,EHA,,,
EHD,E H Darby Aviation,EHD,,,
EHR,Valfell-Verkflug,EHR,,,
EIA,Evergreen International Airlines,EIA,EZ,,
EIC,Express International Cargo,EIC,,,
EIJ,Efata Papua Airlines,EIJ,,,
EIN,Aer Lingus,EIN,EI,^99\d$,
EIR,Eirjet,EIR,,,
EIS,EIS Aircraft,EIS,,,
EIX,Ei Air Exports,EIX,,,
EJA,NetJets,EJA,1I,,.*
EJC,Grupo De Aviación Ejecutiva,EJC,,,
EJD,Elite Jets,EJD,,,
EJM,Executive Jet Management,EJM,,,.*
EJO,Execujet Middle East,EJO,,,
EJP,Aeroservicios Ejecutivos Corporativos,EJP,,,
EJS,Eurojet Servis,EJS,,,
EJT,Eclipse Aviation,EJT,,,
EJU,easyJet Europe,EJU,EC,9\d\d\d,
EJV,Compania Ejecutiva,EJV,,,
EJX,Egyptian Aviation,EJX,,,
EKA,Equaflight Service,EKA,,,
EKC,East Kansas City Aviation,EKC,,,
ELB,Ellinair,ELB,EL,,
ELG,Alpi Eagles,ELG,E8,,
ELH,Elilario Italia,ELH,,,
ELJ,Delta Air Elite,ELJ,,,
ELL,Estonian Air,ELL,OV,,
ELM,Crelam,ELM,,,
ELO,Eurolot,ELO,K2,,
ELR,Elrom Aviation and Investments,ELR,,,
ELS,El Sal Air,ELS,,,
ELT,Elliott Aviation,ELT,,,
ELV,Transportes Aéreos Nacionales De Selva Tans,ELV,,,
ELW,Yellow Wings Air Services,ELW,,,
ELX,Elan Express,ELX,,,
ELY,El Al Israel Airlines,ELY,LY,,
EMA,Egyptian Aviation Company,EMA,,,
EMB,Empresa Brasileira De Aeronáutica,EMB,,,
EMD,Eaglemed (Ballard Aviation),EMD,,,
EME,Eastern Metro Express,EME,,,
EMI,Premium Air Shuttle,EMI,,,
EMM,Emperor Aviation,EMM,,,
EMN,Examiner Training Agency,EMN,,,
EMP,Empire Air Service,EMP,,,
EMR,Zenmour Airlines,EMR,,,
EMS,Aero Servicios Empresariales,EMS,,,
EMT,Emetebe,EMT,,,
EMU,East Asia Airlines,EMU,,,
EMX,Euromanx Airways,EMX,3W,,
ENA,Dirección General de Aviación Civil y Telecomunicasciones,ENA,,,
ENC,Endecots,ENC,,,
END,Arrendadora y Transportadora Aérea,END,,,
ENI,Enimex,ENI,,,
ENK,Enkor JSC,ENK,G8,,
ENR,Scenic Air,ENR,,,
ENS,Entergy Services,ENS,,,
ENT,Enter Air,ENT,E4,,.*
ENV,Victoria Aviation,ENV,,,
ENW,Aeronaves Del Noroeste,ENW,,,
ENY,Envoy Air,ENY,MQ,,
ENZ,Jota Aviation,ENZ,,,.*
EOA,Elilombarda,EOA,,,
EOK,Aero K,EOK,,,
EOL,Airailes,EOL,,,
EOM,Aero Ermes,EOM,,,
EPA,Donghai Airlines,EPA,DZ,,
EPB,Eastern Pacific Aviation,EPB,,,
EPC,Espace Aviation Services,EPC,,,
EPE,Aero Empresarial,EPE,,,
EPL,Aero Transportes Empresariales,EPL,,,
EPU,Aero Elite Acapulco,EPU,,,
EQC,Ecuatorial Cargo,EQC,,,
EQT,Equatorial Airlines,EQT,,,
EQX,Equair,EQX,HN,,
EQZ,Equatair Air Services (Zambia),EQZ,,,
ERC,Esso Resources Canada,ERC,,,
ERE,Erie Airways,ERE,,,
ERF,E-Cargo,ERF,RF,,
ERG,Avianergo,ERG,,,
ERH,Era Helicopters,ERH,,,
ERI,Aero Servicios Regiomontanos,ERI,,,
ERJ,Eurojet Italia,ERJ,,,
ERK,Aerosec,ERK,,,
ERM,Aeromaan,ERM,,,
ERN,Ernest Airlines,ERN,EG,,
ERO,Sun D'Or,ERO,,,
ERT,Eritrean Airlines,ERT,B8,,
ERV,Yerevan-Avia,ERV,,,
ERX,Earth Airlines Services,ERX,,,
ESB,Aereosaba,ESB,,,
ESC,El Sol De América,ESC,,,
ESE,Ensenada Vuelos Especiales,ESE,,,
ESF,Estafeta Carga Aérea,ESF,E7,,
ESI,ESI Eliservizi Italiani,ESI,,,
ESJ,Eastern Sky Jets,ESJ,,,
ESL,Russian Sky Airlines,ESL,P7,,
ESN,Euro Sun,ESN,,,
ESO,Avitat,ESO,,,
ESR,Eastar Jet,ESR,ZE,,
ESS,Eos Airlines,ESS,E0,,
EST,Carga Express Internacional,EST,,,
ESU,Aerolíneas Ejecutivas Del Sureste,ESU,,,
ESX,Euroskylink,ESX,,,
ESZ,Aeronáutica La Esperanza,ESZ,,,
ETA,Estrellas Del Aire,ETA,,,
ETC,African Transport Trading and Investment Company,ETC,ML,,
ETD,Etihad Airways,ETD,EY,,
ETE,Aero Siete,ETE,,,
ETH,Ethiopian Airlines,ETH,ET,,
ETJ,East Air,ETJ,EG,,
ETL,Patterson Aviation Company,ETL,,,
ETM,Etram Air Wing,ETM,,,
ETN,Chim-Nir Aviation,ETN,,,
ETP,Empire Test Pilots' School,ETP,,,
ETR,Estelar,ETR,ES,,
ETS,Flygtransporter I Nykoping,ETS,,,
ETV,European Executive,ETV,,,
EUC,Eurocontrol,EUC,,,
EUG,Euroguineana de Aviación,EUG,,,
EUK,Aer Lingus UK,EUK,EG,,
EUL,Euro Link,EUL,,,.*
EUP,Euroair,EUP,,,
EUT,European 2000 Airlines,EUT,,,
EUU,Euroamerican Air,EUU,,,
EUW,EFS European Flight Service,EUW,,,.*
EUY,EU Airways,EUY,,,
EVA,EVA Air,EVA,BR,,
EVE,Evelop Airlines,EVE,E9,,.*
EVJ,Everjets,EVJ,,,
EVM,Natural Environment Research Council,EVM,,,
EVN,Euraviation,EVN,,,
EVR,Aeronautical Academy of Europe,EVR,,,
EVY,"34 Squadron, Royal Australian Air Force",EVY,,,
EWE,Eurowings Europe,EWE,E2,,
EWG,Eurowings,EWG,EW,6([^8]|8(?!0))\d\d,
EWL,Eurowings Europe,EWL,E6,,
EWR,EWA Air,EWR,ZD,,
EWS,Enterprise World Airways,EWS,,,
EWW,Emery Worldwide Airlines,EWW,,,
EXA,Execair Aviation,EXA,MB,,
EXB,Brazilian Army Aviation,EXB,,,
EXC,European Executive Express,EXC,,,
EXE,Executive Flight,EXE,,,
EXF,Eximflight,EXF,,,
EXG,Air Exchange,EXG,,,
EXH,G5 Executive,EXH,,,
EXJ,Executive Jet Charter,EXJ,,,
EXK,Executive Airlines,EXK,OW,,
EXL,Sunshine Express Airlines,EXL,CQ,,
EXM,United Kingdom Civil Aviation Authority,EXM,,,
EXN,Exin,EXN,,,
EXP,Business Express Delivery,EXP,,,
EXR,Expertos En Carga,EXR,,,
EXS,Jet2.com,EXS,LS,,
EXT,Night Express,EXT,,,
EXU,Executive Airlines,EXU,,,
EXV,FitsAir,EXV,8D,,
EXW,Executive Airlines Services,EXW,,,
EXX,International Air Corporation,EXX,,,
EXY,South African Express,EXY,,,
EXZ,East African Safari Air Express,EXZ,,,
EYE,F.S. Air Service,EYE,,,
EZA,Eznis Airways,EZA,MG,,
EZB,Flugschule Eichenberger,EZB,,,
EZD,Zest Airways,EZD,Z2,,
EZE,Eastern Airways,EZE,T3,,
EZJ,Ezjet GT,EZJ,,,
EZR,EZ Air,EZR,7Z,,
EZS,easyJet Switzerland,EZS,DS,9\d\d\d,
EZX,Eagle Express Air Charter,EZX,9A,,
EZY,easyJet,EZY,U2,9\d\d\d,
EZZ,ETF Airways,EZZ,LI,,.*
FAB,First Air,FAB,7F,,
FAC,Atlantic Helicopters,FAC,,,
FAD,flyadeal,FAD,F3,,
FAE,Freshaer,FAE,,,
FAF,Force Aerienne Francaise,FAF,,,
FAG,Argentine Air Force,FAG,,,
FAH,Farnair Hungary,FAH,,,
FAK,Financial Airxpress,FAK,,,
FAL,Friendship Air Alaska,FAL,,,
FAM,Fumigación Aérea Andaluza,FAM,,,
FAN,AF-Air International,FAN,,,
FAO,Falcon Air Express,FAO,,,
FAP,F Air,FAP,,,
FAQ,Aerofaq,FAQ,,,
FAR,Falcon Air,FAR,,,
FAS,Freedom Airways,FAS,,,
FAT,Farnair Switzerland,FAT,,,
FAU,Falcon Airline,FAU,,,
FAV,Fair Aviation,FAV,,,
FAW,Falwell Aviation,FAW,,,
FAX,Midwest Air Freighters,FAX,,,
FAY,Fayban Air Services,FAY,,,
FAZ,Flint Aviation Services,FAZ,,,
FBA,Fly Baghdad,FBA,IF,,
FBF,Fine Airlines,FBF,,,
FBO,TAG Farnborough Airport,FBO,,,
FBS,FlyBosnia,FBS,6W,,
FBU,French Bee,FBU,BF,,
FBW,Aviation Data Systems,FBW,,,
FBZ,Flybondi,FBZ,FO,,
FCA,First Choice Airways,FCA,DP,,
FCC,First Cambodia Airlines,FCC,,,
FCE,Flycolumbia,FCE,,,
FCI,Air Carriers,FCI,,,
FCK,Flight Calibration Service,FCK,,,
FCL,Florida Coastal Airlines,FCL,PA,,
FCM,Nordic Regional Airlines,FCM,N7,,
FCN,Falcon Air,FCN,,,
FCO,Aerofrisco,FCO,,,
FCP,Flight Corporation,FCP,,,
FCR,Flying Carpet Company,FCR,,,
FCS,Facts Air,FCS,,,
FCT,Fly CI Limited,FCT,,,
FCU,Alfa 4,FCU,,,
FCV,Flight Centre Victoria,FCV,,,
FDA,African Airlines,FDA,,,
FDB,Flydubai,FDB,FZ,,
FDF,IVV Femida,FDF,,,
FDL,Farmingdale State University,FDL,,,
FDN,Dolphin Air,FDN,,,
FDO,France Douanes,FDO,,,
FDP,Flight Dispatch Services,FDP,,,
FDR,Federal Air,FDR,,,
FDS,African Medical and Research Foundation,FDS,,,
FDX,Federal Express,FDX,FX,,
FDY,Southern Airways Express,FDY,9X,,
FEA,Far Eastern Air Transport,FEA,FE,,
FEC,Denver Express,FEC,,,
FED,Líneas Aéreas Federales,FED,,,
FEE,Fly Europa Limited,FEE,,,
FEG,FlyEgypt,FEG,FT,,
FEI,Eagle Air,FEI,,,
FEO,Aeroferinco,FEO,,,
FER,Feria Aviación,FER,,,
FES,Aero Taxis Y Servicios Alfe,FES,,,
FEX,Flightexec,FEX,,,
FF,Airshop,,FF,,
FFA,Avialesookhrana,FFA,,,
FFB,Africair Service,FFB,,,
FFC,Fairoaks Flight Centre,FFC,,,
FFD,Stuttgarter Flugdienst,FFD,,,
FFF,Freedom Air Services,FFF,,,
FFG,Flugdienst Fehlhaber,FFG,,,
FFH,Shalom Air Services,FFH,,,
FFI,Infinit Air,FFI,,,
FFL,Intavia Limited,FFL,,,
FFM,Firefly,FFM,FY,,
FFP,Fischer Air Polska,FFP,,,
FFR,Fischer Air,FFR,8F,,
FFS,Florida Department of Agriculture,FFS,,,
FFT,Frontier Airlines,FFT,F9,,
FFU,GEC Marconi Avionics,FFU,,,
FFY,Fun Flying Thai Air Service,FFY,,,
FGA,Georgian Aviation Federation,FGA,,,
FGC,Departmento De Agricultura De La Generalitat De Cataluna,FGC,,,
FGE,Fly Georgia,FGE,9Y,,
FGN,Gendarmie Nationale,FGN,,,
FGP,Flying-Research Aerogeophysical Center,FGP,,,
FGS,Elitellina,FGS,,,
FGT,Aero Freight,FGT,,,
FGW,Fly Gangwon,FGW,4V,,
FGY,Froggy Corporate Aviation,FGY,,,
FHL,Fast Helicopters,FHL,,,
FHM,Freebird Airlines Europe,FHM,,,
FHS,Forth and Clyde Helicopter Services,FHS,,,
FHY,Freebird Airlines,FHY,FH,,
FIA,FlyOne,FIA,5F,,
FIC,Aerosafin,FIC,,,
FIE,FlyOne Armenia,FIE,3F,,
FIF,Air Finland,FIF,OF,,
FII,Aerodata Flight Inspection,FII,,,
FIL,Fly Line,FIL,,,
FIN,Finnair,FIN,AY,,
FIR,First Line Air,FIR,,,
FIV,Citationshares,FIV,,,
FIX,Airfix Aviation,FIX,,,
FJA,Fiji Link,FJA,FJ,,
FJC,Falcon Jet Centre,FJC,,,
FJE,Silverjet,FJE,,,
FJI,Fiji Airways,FJI,FJ,,
FJL,Fly Jinnah,FJL,9P,,
FJM,Fly Jamaica Airways,FJM,OJ,,
FJO,Flexjet Operations Malta,FJO,,,.*
FJR,Fly Jordan,FJR,F0,,
FJS,Florida Jet Service,FJS,,,
FJT,Future Air,FJT,,,.*
FJW,Fastjet Zimbabwe,FJW,FN,,
FJX,Jet Sky Cargo and Air Charter,FJX,,,
FKI,FLM Aviation Mohrdieck,FKI,,,
FKL,Kelner Airways,FKL,,,
FKS,Focus Air,FKS,,,
FLA,Midway Express,FLA,,,
FLC,FINFO Flight Inspection Aircraft,FLC,,,
FLD,Air Falcon,FLD,,,
FLE,Flair Airlines,FLE,F8,,
FLF,Friendship Airlines,FLF,,,
FLG,FlyBig,FLG,S9,,
FLH,Sky Bus,FLH,,,
FLI,Atlantic Airways,FLI,RC,,
FLJ,Flexjet Europe,FLJ,,,.*
FLK,Flylink Express,FLK,,,
FLL,Federal Airlines,FLL,,,
FLM,Fly Air,FLM,F2,,
FLN,Flamingo Air-Line,FLN,,,
FLO,Flycom,FLO,,,
FLR,Fleetair,FLR,,,
FLS,Flying Fast,FLS,,,
FLU,Flugschule Basel,FLU,,,
FLW,FLowair Aviation,FLW,,,
FLX,"Flight Express, Inc.",FLX,,,
FLZ,Aero Leasing,FLZ,QH,,
FMC,Claessens International Limited,FMC,,,
FMG,FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt,FMG,,,
FMI,FMI Air,FMI,ND,33\d\d,
FML,Sky Mali,FML,ML,,
FMR,Flamingo Air,FMR,,,
FMS,Hadison Aviation,FMS,,,
FMT,Air Fret De Mauritanie,FMT,,,
FMY,Aviation Legere De L'Armee De Terre,FMY,,,
FNA,Norlandair,FNA,,,
FNC,Finalair Congo,FNC,4S,,
FNF,Finnish Air Force,FNF,,,
FNG,Frontier Guard,FNG,,.*,
FNK,Feniks Airline,FNK,,,
FNL,Oulun Tilauslento,FNL,,,
FNM,Avio Nord,FNM,,,
FNO,Aeroflota Del Noroeste,FNO,,,
FNT,L-3 Communications Flight Internation Aviation,FNT,,,
FNV,Transaviaservice,FNV,,,
FNX,Aero Fenix,FNX,,,
FNY,France Marine Nationale,FNY,,,
FOB,Ford Motor Company,FOB,,,
FOC,Office Federal De'Aviation Civile,FOC,,,
FOE,FlyOne Romania,FOE,OE,,
FOI,Flight Ops International,FOI,,,
FOM,Freedom Air,FOM,,,
FOO,Level,FOO,VK,,
FOP,Fokker,FOP,,,
FOR,Formula One Management,FOR,,,
FOS,Bel Limited,FOS,,,
FPA,Flygprestanda,FPA,,,
FPG,TAG Aviation,FPG,,,
FPK,Air Falcon,FPK,,,
FPO,ASL Airlines France,FPO,5O,,
FPR,Peruvian Air Force,FPR,,,
FPS,Flightpass Limited,FPS,,,
FPY,PLAY,FPY,OG,,
FQA,Quikjet Cargo Airlines,FQA,QO,,
FRA,FR Aviation,FRA,,,
FRC,Icare Franche Compte,FRC,,,
FRE,Fly Pelican,FRE,FP,,
FRF,Fleet Air International,FRF,,,.*
FRG,Freight Runners Express,FRG,,,
FRH,ACE Belgium Freighters,FRH,X7,,
FRJ,Afrijet Airlines,FRJ,,,
FRK,Afrika Aviation Handlers,FRK,,,
FRL,Freedom Airlines,FRL,,,
FRM,Federal Armored Service,FRM,,,
FRN,Farnair Netherlands,FRN,,,
FRQ,Afrique Chart'air,FRQ,,,
FRR,Fresh Air,FRR,,,
FRT,Aerofreight Airlines,FRT,,,
FRW,Farwest Airlines,FRW,,,
FSA,Foster Aviation,FSA,,,
FSB,FSB Flugservice &amp; Development,FSB,,,
FSC,Four Star Aviation / Four Star Cargo,FSC,HK,,
FSD,EFS-Flugservice,FSD,,,
FSF,Fly7,FSF,,,.*
FSH,Flash Airlines,FSH,,,
FSL,Flight Safety Limited,FSL,,,
FSR,Flightstar Corporation,FSR,,,
FST,Aeros Limited,FST,,,
FSU,Flight Support Sweden,FSU,,,
FSW,Faso Airways,FSW,F3,,
FSX,Flagship Express Services,FSX,,,
FTA,Frontier Flying Service,FTA,2F,,
FTC,Air Affaires Tchad,FTC,,,
FTE,Fotografia F3,FTE,,,
FTM,Flyteam Aviation,FTM,,,
FTP,Keystone Aerial Surveys,FTP,,,
FTR,Finist'air,FTR,,,
FTS,First Sabre,FTS,,,
FTY,ABC Bedarfsflug,FTY,,,
FTZ,Fly 540 Tanzania,FTZ,,,
FUJ,Fujairah Aviation Centre,FUJ,,,
FUN,Funtshi Aviation Service,FUN,,,
FUT,Aereo Futuro,FUT,,,
FVA,Cardinal/Air Virginia,FVA,,,
FVS,Falcon Aviation Services,FVS,,,
FWA,Interstate Airlines,FWA,I4,,
FWC,Freeway Air,FWC,,,
FWD,Fair Wind Air Charter,FWD,,,
FWI,Air Caraïbes,FWI,TX,,
FWK,Flightworks,FWK,,,.*
FWL,Florida West International Airways,FWL,RF,,
FWQ,Flight West Airlines,FWQ,,,
FWY,Fairways Corporation,FWY,,,
FWZ,Flugwerkzeuge Aviation Software,FWZ,,,
FXA,Express Air,FXA,,,
FXC,Fortunair Canada,FXC,,,
FXF,VIP Air Charter,FXF,,,
FXI,Air Iceland,FXI,NY,,
FXL,Fly Excellent,FXL,,,
FXR,Foxair,FXR,,,
FXT,Flexflight,FXT,,,
FXY,Flexair,FXY,,,
FYA,Servicios Aéreos Integrales / Flyant,FYA,,,
FYE,Easy Link Aviation Services,FYE,,,
FYG,Flying Service,FYG,,,
FYH,Flyhy Cargo Airlines,FYH,W3,,
FYL,Flying Group Luxembourg,FYL,,,.*
FYN,Comfort Air,FYN,,,
FYS,American Flyers,FYS,,,
FZA,Fuzhou Airlines,FZA,FU,,
G1,Gorkha Airlines,,G1,,
GAA,Business Express,GAA,,,
GAB,Gendall Air,GAB,,,
GAC,GlobeAir,GAC,,,.*
GAD,South Coast Aviation,GAD,,,
GAE,Grand Aire Express,GAE,,,
GAF,German Air Force,GAF,,,
GAG,Global Air Operations,GAG,,,
GAH,Ga-Ma Helicoptere,GAH,,,
GAJ,Wheels Up,GAJ,,,.*
GAK,Global Aviation and Services Group,GAK,,,
GAM,German Army,GAM,,,
GAN,Gander Aviation,GAN,,,
GAO,Golden Air,GAO,DC,,
GAP,PAL Express,GAP,2P,,
GAQ,Golfe Air Quebec,GAQ,,,
GAR,Commodore Aviation,GAR,,,
GAS,Galena Air Service,GAS,,,
GAT,Gulf Air Inc,GAT,,,
GAU,Aerogaucho,GAU,,,
GAV,Granada Aviación,GAV,,,
GAX,Full Express,GAX,,,
GBA,Great Barrier Airlines,GBA,,,
GBB,LIFT Airline,GBB,GE,,
